filename,upernet_precision,upernet_recall,upernet_f1,auraseg_precision,auraseg_recall,auraseg_f1
scene20_0114.png,0.9911180773249739,0.8148,0.8943517643951999,0.9973319103521878,0.7688,0.868280300224985
scene20_0136.png,0.9973958333333334,0.6639072847682119,0.7971794578994904,0.9984407484407485,0.6612582781456954,0.7955987194887246
scene20_0139.png,0.96875,0.8099927060539752,0.8822866076348399,0.9742120343839542,0.7676878191101386,0.8587069004304333
scene21_0008.png,1.0,0.7799650043744532,0.8763824035389531,1.0,0.7817147856517935,0.8774858826417874
scene21_0028.png,0.9987129987129987,0.5840248962655602,0.7370433946428345,0.9993523316062176,0.580567081604426,0.7344565321545878
scene21_0031.png,1.0,0.9917452830188679,0.9958555358200119,1.0,0.9893867924528302,0.9946650859513931
scene21_0032.png,0.9949494949494949,0.9563164108618654,0.9752505049825967,0.9987577639751553,0.9657615112160567,0.9819825334943911
scene21_0043.png,0.9974937343358395,0.8282025819265144,0.904999236591271,0.9993827160493827,0.8296921549155909,0.9066660008586244
scene21_0058.png,0.9380530973451328,0.9941588785046729,0.9652914140792621,1.0,0.9824766355140186,0.9911608721272834
scene21_0069.png,0.9634098871156092,0.8990793201133145,0.9301336114447423,0.9992006394884093,0.9043909348441926,0.9494347554681346
scene21_0070.png,0.7697401935812532,0.7284421152929966,0.7485219542602839,0.8211949411251636,0.8928060981419723,0.8555045585192507
scene21_0075.png,0.9892655367231639,0.7801932367149759,0.8723778057478498,0.9987819732034104,0.7125603864734299,0.8317359350152576
scene21_0077.png,0.7838888888888889,0.5125397386082656,0.61981693043093,0.9383116883116883,0.7873542917696927,0.8562302824965391
scene21_0088.png,0.8006202924235711,0.8069286016054077,0.8037620695481239,0.9910802775024777,0.8969159273341782,0.941649865483343
scene21_0095.png,0.9707112970711297,0.7418595527657905,0.8409946353792758,0.9747899159663865,0.7426441741859553,0.8430274632355058
scene21_0102.png,0.8949771689497716,0.7342733188720173,0.8066995972338323,0.8328236493374108,0.6044830079537238,0.7005154287607299
scene21_0129.png,0.7591499409681228,0.8527166591827571,0.80321758813109,0.8967629046369204,0.9137853614728334,0.905194111980003
scene21_0133.png,0.9573947110675808,0.9612810707456979,0.9593339549129475,0.9969727547931383,0.9765774378585086,0.9866697103684728
scene21_0157.png,0.9820061255742726,0.975139146567718,0.9785605890856878,0.9996081504702194,0.9795918367346939,0.9894987777530859
scene23_0004.png,0.6908305328852616,0.5038402457757296,0.5827014968398402,0.6605410923940787,0.42242703533026116,0.5153067910875168
scene23_0021.png,0.703037120359955,0.4782142857142857,0.569230889571418,0.9816824966078698,0.6114285714285714,0.7535302949557481
scene23_0027.png,0.9816824966078698,0.4593273929290026,0.6258300725414825,1.0,0.43978154642138545,0.610900379317229
scene23_0039.png,0.9112801013941698,0.4549777117384844,0.6069310364410373,0.9892617449664429,0.46953937592867756,0.6368206545888073
scene23_0045.png,0.8711364717070851,0.6040044493882091,0.7133831045033214,0.9994617868675996,0.603726362625139,0.7527518580514942
scene23_0068.png,0.9994786235662148,0.631219512195122,0.7737672538913761,1.0,0.6334959349593496,0.7756320923750747
scene23_0080.png,0.9973063973063973,0.6394037066881547,0.7792234013649646,0.9973262032085561,0.6410153102336825,0.7804250338633105
scene23_0091.png,0.9949843260188088,0.698744769874477,0.8209578445554767,0.9943785134291068,0.703347280334728,0.8239180032637737
scene23_0095.png,1.0,0.45977961432506886,0.6299301755048122,1.0,0.4644628099173554,0.6343115124153499
scene23_0103.png,0.9963617463617463,0.5992051360440233,0.7483548102697721,1.0,0.5701620299602568,0.7262461059190031
scene23_0109.png,1.0,0.6407920792079208,0.7810765146029447,1.0,0.6407920792079208,0.7810765146029447
scene23_0116.png,1.0,0.7852431986809563,0.8797044562456707,1.0,0.7856553998351196,0.8799630655586335
scene23_0136.png,1.0,0.6487111698612029,0.786931248747244,1.0,0.6520158625247852,0.7893578715743148
scene23_0155.png,1.0,0.6160646627936348,0.7624257580493905,1.0,0.6175801970194493,0.7635852592129918
scene23_0157.png,1.0,0.49555375909458366,0.6627027027027026,1.0,0.5012126111560227,0.6677436725901993
scene24_0003.png,0.9792085848423877,0.5339663988312637,0.691082640665324,1.0,0.535427319211103,0.6974310180780209
scene24_0006.png,0.9901960784313726,0.5157641395908544,0.6782484986078927,0.9712778429073857,0.45342960288808665,0.6182407874728227
scene24_0014.png,0.592310772927513,0.45203800183879866,0.5127539472082202,0.7944621938232161,0.4737971192154459,0.5935913813353536
